Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 0 1 0 0 0 1 
1 1 0.996208 0.00143905 0.00117673 0.0011759 1 
1 2 0.984937 0.0057163 0.00467647 0.00467005 1 
1 3 0.966494 0.0127132 0.0104067 0.010386 1 
1 4 0.941378 0.0222369 0.0182158 0.0181694 1 
1 5 0.910259 0.0340282 0.0278989 0.027814 1 
1 6 0.873953 0.0477711 0.0392061 0.0390701 1 
1 7 0.833388 0.0631055 0.051852 0.0516543 1 
1 8 0.789572 0.0796403 0.0655268 0.0652606 1 
1 9 0.743553 0.0969681 0.0799076 0.0795717 1 
1 10 0.69638 0.114679 0.0946705 0.0942704 1 
1 11 0.64907 0.132377 0.109502 0.109051 1 
1 12 0.602574 0.149689 0.124107 0.12363 1 
1 13 0.557746 0.166279 0.138223 0.137752 1 
1 14 0.515318 0.181859 0.151623 0.1512 1 
1 15 0.47589 0.19619 0.164122 0.163798 1 
1 16 0.43991 0.209094 0.17558 0.175416 1 
1 17 0.40768 0.220449 0.185904 0.185968 1 
1 18 0.379349 0.230193 0.195048 0.19541 1 
1 19 0.354933 0.238319 0.203007 0.203741 1 
1 20 0.33432 0.244872 0.209814 0.210995 1 
1 21 0.317295 0.249937 0.215535 0.217233 1 
1 22 0.303559 0.25364 0.220259 0.222542 1 
1 23 0.292752 0.256131 0.224096 0.227021 1 
1 24 0.284479 0.257579 0.227163 0.230779 1 
1 25 0.278331 0.258165 0.22958 0.233924 1 
1 26 0.273908 0.25807 0.231463 0.236559 1 
1 27 0.270835 0.257471 0.232918 0.238776 1 
1 28 0.268782 0.256531 0.234035 0.240652 1 
1 29 0.26747 0.255397 0.234886 0.242246 1 
1 30 0.266681 0.254198 0.235524 0.243598 1 
1 31 0.266261 0.253036 0.235978 0.244726 1 
1 32 0.266118 0.251991 0.236258 0.245632 1 
1 33 0.266221 0.251121 0.236356 0.246301 1 
1 34 0.266589 0.25046 0.236247 0.246703 1 
1 35 0.267284 0.250021 0.235894 0.246801 1 
1 36 0.268399 0.2498 0.235253 0.246548 1 
1 37 0.270048 0.249778 0.234274 0.2459 1 
1 38 0.272353 0.249926 0.23291 0.244811 1 
1 39 0.275434 0.250205 0.231117 0.243244 1 
1 40 0.279395 0.250571 0.228863 0.241171 1 
1 41 0.284323 0.25098 0.226124 0.238573 1 
1 42 0.290274 0.251385 0.222893 0.235447 1 
1 43 0.297272 0.251745 0.219177 0.231806 1 
1 44 0.305304 0.252021 0.215001 0.227674 1 
1 45 0.314322 0.25218 0.210404 0.223094 1 
1 46 0.324242 0.252196 0.205444 0.218118 1 
1 47 0.334949 0.252047 0.200191 0.212813 1 
1 48 0.346298 0.251723 0.194725 0.207254 1 
1 49 0.358122 0.251217 0.189138 0.201523 1 
1 50 0.370236 0.25053 0.183527 0.195708 1 
1 51 0.382445 0.249669 0.17799 0.189897 1 
1 52 0.394549 0.248646 0.172628 0.184177 1 
1 53 0.406349 0.247481 0.167535 0.178635 1 
1 54 0.417654 0.246196 0.162801 0.173349 1 
1 55 0.428284 0.244816 0.158508 0.168392 1 
1 56 0.438075 0.243373 0.154725 0.163827 1 
1 57 0.446885 0.241897 0.15151 0.159709 1 
1 58 0.45459 0.240422 0.148907 0.156081 1 
