Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 0 1 0 0 0 1 
1 1 0.997098 0.00096755 0.000967184 0.000967205 1 
1 2 0.98845 0.00385371 0.0038479 0.00384824 1 
1 3 0.974228 0.00860938 0.00858027 0.008582 1 
1 4 0.954714 0.0151538 0.0150632 0.0150687 1 
1 5 0.930291 0.0233762 0.0231596 0.023173 1 
1 6 0.901434 0.0331383 0.0327 0.0327279 1 
1 7 0.868695 0.0442766 0.0434883 0.04354 1 
1 8 0.832692 0.0566063 0.0553067 0.0553952 1 
1 9 0.794087 0.069925 0.0679229 0.0680649 1 
1 10 0.753575 0.0840164 0.0810958 0.0813125 1 
1 11 0.711861 0.0986554 0.0945831 0.0949004 1 
1 12 0.669643 0.113612 0.108148 0.108596 1 
1 13 0.627599 0.128658 0.121564 0.12218 1 
1 14 0.586363 0.143568 0.134622 0.135447 1 
1 15 0.546519 0.158127 0.147137 0.148217 1 
1 16 0.508582 0.172135 0.158948 0.160334 1 
1 17 0.472994 0.185409 0.169926 0.171671 1 
1 18 0.44011 0.197788 0.17997 0.182132 1 
1 19 0.410197 0.209135 0.189015 0.191653 1 
1 20 0.383434 0.219342 0.197025 0.200199 1 
1 21 0.359908 0.228327 0.203999 0.207766 1 
1 22 0.339623 0.23604 0.20996 0.214377 1 
1 23 0.322504 0.242461 0.214958 0.220078 1 
1 24 0.308405 0.247599 0.219064 0.224932 1 
1 25 0.297121 0.251493 0.222365 0.22902 1 
1 26 0.288402 0.254206 0.22496 0.232432 1 
1 27 0.281962 0.255827 0.226951 0.235261 1 
1 28 0.277494 0.256463 0.228442 0.237601 1 
1 29 0.274688 0.256238 0.229534 0.23954 1 
1 30 0.273238 0.255289 0.230317 0.241157 1 
1 31 0.27286 0.253757 0.230865 0.242518 1 
1 32 0.273301 0.251787 0.231239 0.243673 1 
1 33 0.274348 0.249522 0.231478 0.244653 1 
1 34 0.275835 0.247094 0.231601 0.24547 1 
1 35 0.277654 0.244625 0.231604 0.246117 1 
1 36 0.27975 0.242219 0.231463 0.246567 1 
1 37 0.282129 0.23996 0.231134 0.246778 1 
1 38 0.284849 0.237908 0.230554 0.246689 1 
1 39 0.288023 0.236099 0.229646 0.246232 1 
1 40 0.291809 0.234539 0.228325 0.245327 1 
1 41 0.296402 0.23321 0.226496 0.243892 1 
1 42 0.302026 0.232066 0.224064 0.241845 1 
1 43 0.30892 0.231035 0.220939 0.239106 1 
1 44 0.31733 0.230025 0.217038 0.235607 1 
1 45 0.327497 0.228922 0.212292 0.231289 1 
1 46 0.339639 0.227601 0.206647 0.226113 1 
1 47 0.353947 0.225924 0.200073 0.220056 1 
1 48 0.37057 0.22375 0.192564 0.213116 1 
1 49 0.389608 0.22094 0.184138 0.205314 1 
1 50 0.4111 0.217361 0.174843 0.196696 1 
